Gene	Operon
SM2011_c04317	407
SM2011_c04319	408
SM2011_c04321	409
SM2011_c04341	410
SM2011_c04348	411
SM2011_c04350	412
SM2011_c04362	413
SM2011_c04452	414
SM2011_c01410	415
SM2011_c01491	416
SM2011_c01418	417
SM2011_c01424	418
SM2011_c01431	419
SM2011_c01433	420
SM2011_c01494	421
SM2011_c01441	422
SM2011_c01444	423
SM2011_c01447	424
SM2011_c01450	425
SM2011_c01458	426
SM2011_c01459	427
SM2011_c01463	428
SM2011_c01469	429
SM2011_c01882	430
SM2011_c01880	431
SM2011_c01876	432
SM2011_c01871	433
SM2011_c01863	434
SM2011_c01861	435
SM2011_c01857	436
SM2011_c01853	437
SM2011_c01848	438
SM2011_c01842	439
SM2011_c02818	440
SM2011_c01574	441
SM2011_c01588	442
SM2011_c01597	443
SM2011_c01606	444
SM2011_c01627	445
SM2011_c01631	446
SM2011_c01633	447
SM2011_c01640	448
SM2011_c01642	449
SM2011_c01647	450
SM2011_c01650	451
SM2011_c01653	452
SM2011_c01657	453
SM2011_c01663	454
SM2011_c01668	455
SM2011_c01543	456
SM2011_c01742	457
SM2011_c01552	458
SM2011_c01565	459
SM2011_c01567	460
SM2011_c01571	461
SM2011_c01580	462
SM2011_c01593	463
SM2011_c02678	464
SM2011_c02681	465
SM2011_c02683	466
SM2011_c02688	467
SM2011_c02696	468
SM2011_c02702	469
SM2011_c02703	470
SM2011_c02713	471
SM2011_c02716	472
SM2011_c02724	473
SM2011_c02730	474
SM2011_c02735	475
SM2011_c02738	476
SM2011_c01535	477
SM2011_c01524	478
SM2011_c01522	479
SM2011_c03949	480
SM2011_c01520	481
SM2011_c01516	482
SM2011_c01514	483
SM2011_c01747	484
SM2011_c01505	485
SM2011_c01497	486
SM2011_c01814	487
SM2011_c01823	488
SM2011_c01828	489
SM2011_c01833	490
SM2011_c01995	491
SM2011_c01943	492
SM2011_c01951	493
SM2011_c01955	494
SM2011_c02298	123
SM2011_c01965	496
SM2011_c01968	497
SM2011_c01973	498
SM2011_c01975	499
SM2011_c01982	500
SM2011_c02016	501
SM2011_c02020	502
SM2011_c02029	503
SM2011_c02037	504
SM2011_c02339	505
SM2011_c02343	506
SM2011_c02350	507
SM2011_c02353	508
SM2011_c02354	509
SM2011_c02356	510
SM2011_c02417	511
SM2011_c02426	512
SM2011_c02437	513
SM2011_c02444	514
SM2011_c02450	515
SM2011_c00743	516
SM2011_c00740	517
SM2011_c00733	518
SM2011_c00724	519
SM2011_c00718	520
SM2011_c00717	521
SM2011_c00710	522
SM2011_c00708	523
SM2011_c00699	524
SM2011_c00693	525
